School,Delegates
Academies of Grand Island,2
Adams Central,6
Ainsworth,2
Alliance,2
Amherst,4
Arlington,4
Ashland - Greenwood,4
Auburn,4
Aurora,5
Axtell,3
Beatrice,2
Bellevue East,4
Bellevue West,3
Bennington,4
Bishop Neumann,3
Blair,6
Blue Hill,3
Boone Central,3
Boyd County,2
Broken Bow,3
Buena Vista,4
Cambridge,2
Cedar Bluffs,2
Centennial,3
Centura,4
Chadron,3
Chase County,3
Clarkson - Leigh,2
Columbus,3
Conestoga,3
Creek Valley,2
Crete,5
Cross County,2
Dorchester,3
Dundy County Stratton,4
Elkhorn,3
Elkhorn North,2
Elkhorn South,2
Elkhorn Valley,3
Elmwood - Murdock,3
Emerson - Hubbard,3
Fairbury,4
Fillmore Central,3
Freeman,3
Gibbon,5
Giltner,3
Grand Island Central Catholic,6
Grand Island Northwest,2
Gretna,4
Harvard,2
Hay Springs,2
Heartland,3
Hershey,5
Johnson - Brock,4
Johnson County Central,3
Kearney,2
Kenesaw,3
Lakeview,6
Laurel Concord Coleridge,3
Lawrence Nelson,2
Lincoln East,3
Lincoln Northwest,2
Lincoln Southeast,2
Lincoln Southwest,3
Litchfield,2
Louisville,2
Loup City,2
Lutheran High Northeast,4
Lyons - Decatur,2
Malcolm,6
Maywood,2
McCool Junction,3
McPherson County,2
Mercy,3
Meridian,2
Minden,4
Mitchell,4
Neligh - Oakdale,3
Newman Grove,2
Norris,2
North Star,4
Omaha Central,2
Omaha Marian,4
Omaha Northwest,2
Omaha South,2
Ord,2
Osmond,3
Platteview,2
Ponca,3
Ravenna,2
Raymond Central,3
Saint Paul,3
Sandy Creek,2
Sandhills,2
Sargent,3
Seward Senior,5
Shelby-Rising City,3
Shickley,2
Silver Lake,3
Skutt Catholic,3
Southern Valley,3
Southwest,3
Stanton,2
Sterling,2
Summerland,3
Superior,2
Syracuse - Dunbar - Avoca,4
Tekamah - Herman,3
Tri - County,3
Twin River,4
Valentine,2
Wahoo,3
Wakefield,4
Wausa,5
Waverly,3
Wayne,3
Weeping Water,3
West Point - Beemer,3
Wilber Clatonia,4
Wilcox - Hildreth,2
William Jennings Bryan,2
Wood River,4
York,3
Yutan,2
Arlington - Middle School,2
Blue Hill - Middle School,3
Boyd County - Middle School,2
Broken Bow - Middle School,2
Chase County - Middle School,2
Emerson - Hubbard - Middle School,2
Fairbury - Middle School,3
Gibbon - Middle School,3
Maywood - Middle School,2
Meridian School - Middle School,2
Newman Grove - Middle School,2
Ord - Middle School,2
Raymond Central - Middle School,3
Sandy Creek - Middle School,2
Sargent - Middle School,2
